"","Time","Score","SD"
"1",0,0,0.001
"2",1,172.397650607361,25.7949172287076
"3",2,85.3690676537756,13.2109345724793
"4",4,99.1321019727109,27.6092089191812
"5",24,144.842266156819,19.0396232310348
"6",72,120.723922442516,30.6002729095192
"7",120,76.8677491363326,25.5468066071478
"8",192,89.2215535269623,13.0400650583261
"9",240,45.1740495614761,4.18075924864234
"10",288,53.9440704796256,15.6282065630341
"11",360,81.4021229750563,9.31190527345516
"12",480,54.3860036504545,2.11120470983819
"13",672,57.0899003301054,35.8973159947414
